x,acc_reward
0,128.0
1,136.0
2,136.0
3,136.0
4,136.0
5,133.33333333333334
6,136.0
7,136.0
8,136.0
9,138.66666666666666
10,136.0
11,136.0
12,134.4
13,136.0
14,148.0
15,136.0
16,136.0
17,136.0
18,136.0
19,136.0
20,136.0
21,136.0
22,136.0
23,136.0
24,136.0
25,136.0
26,149.33333333333334
27,152.0
28,149.33333333333334
29,136.0
30,149.33333333333334
31,138.66666666666666
32,136.0
33,154.66666666666666
34,122.66666666666667
35,144.0
36,136.0
37,128.0
38,136.0
39,136.0
40,154.66666666666666
41,170.66666666666666
42,136.0
43,154.66666666666666
44,149.33333333333334
45,165.33333333333334
46,136.0
47,136.0
48,136.0
49,153.6
50,124.8
51,144.0
52,115.2
53,136.0
54,136.0
55,136.0
56,136.0
57,160.0
58,136.0
59,160.0
60,114.9090909090909
61,160.0
62,136.0
63,136.0
64,136.0
65,136.0
66,136.0
67,168.0
68,168.0
69,132.0
70,118.95652173913044
71,149.33333333333334
72,144.0
73,136.0
74,132.0
75,144.0
76,165.33333333333334
77,136.0
78,140.0
79,148.0
80,136.0
81,154.66666666666666
82,140.0
83,136.0
84,148.0
85,136.0
86,136.0
87,176.0
88,136.0
89,144.0
90,136.0
91,144.0
92,144.0
93,138.66666666666666
94,152.0
95,124.0
96,136.0
97,128.0
98,136.0
99,136.0
100,130.28571428571428
101,136.0
102,136.0
103,136.0
104,136.0
105,128.0
106,124.44444444444444
107,136.0
108,128.0
109,147.2
110,136.0
111,136.0
112,136.0
113,136.0
114,120.0
115,136.0
116,136.0
117,138.66666666666666
118,156.0
119,144.0
120,176.0
121,144.0
122,136.0
123,136.0
124,136.0
125,154.66666666666666
126,103.27272727272727
127,136.0
128,136.0
129,136.0
130,148.0
131,136.0
132,132.0
133,160.0
134,136.0
135,170.66666666666666
136,118.4
137,154.66666666666666
138,149.33333333333334
139,144.0
140,148.0
141,136.0
142,144.0
143,136.0
144,136.0
145,136.0
146,148.0
147,136.0
148,97.23076923076923
149,136.0
150,136.0
151,132.44444444444446
152,136.0
153,136.0
154,136.0
155,136.0
156,165.33333333333334
157,132.0
158,136.0
159,128.0
160,136.0
161,148.0
162,128.0
163,136.0
164,136.0
165,136.0
166,132.0
167,136.0
168,128.0
169,136.0
170,136.0
171,148.0
172,136.0
173,149.33333333333334
174,136.0
175,136.0
176,160.0
177,136.0
178,160.0
179,136.0
180,136.0
181,128.0
182,134.4
183,168.0
184,136.0
185,136.0
186,138.66666666666666
187,136.0
188,130.52631578947367
189,136.0
190,154.66666666666666
191,107.42857142857143
192,160.0
193,103.52941176470588
194,116.0
195,170.66666666666666
196,136.0
197,170.66666666666666
198,138.66666666666666
199,136.0
200,136.0
201,149.33333333333334
202,136.0
203,156.0
204,136.0
205,124.0
206,136.0
207,128.0
208,136.0
209,122.66666666666667
210,121.6
211,152.0
212,136.0
213,140.0
214,133.33333333333334
215,128.0
216,136.0
217,138.66666666666666
218,154.66666666666666
219,154.66666666666666
220,136.0
221,115.2
222,120.0
223,124.0
